configuration_accession,modality,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,stage,reason,message
IGVFFI0055XEHV,,"Gary Hon, UT",Mpathi Nzima,functional characterization,IGVFDS2739QDQI,,Perturb-seq,gary-hon:seqspec_IGVFFI3294VBIM_hto,,,seqspec_version,seqspec_version_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI0055XEHV/@@download/IGVFFI0055XEHV.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI0110WYBL,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS6935HPTC,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_RNA_day20_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI0212ZPUD,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS0993OMZM,,Perturb-seq,charles-gersbach:IGVFFI8366TCMN_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRa_D2_S11_L002_R1_001.fastq.gz'.
IGVFFI0226HJUA,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS0953UCYV,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_RNA_day20_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI0259MQIB,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2094FEUN,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well3E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI0282ROMN,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS8029DSPH,,Perturb-seq,charles-gersbach:IGVFFI2071NCQF_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRi_D1_S7_L003_R1_001.fastq.gz'.
IGVFFI0464XYHE,rna,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS2013EJJF,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,enumerate_files,seqspec_file_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI0464XYHE/@@download/IGVFFI0464XYHE.yaml.gz
IGVFFI0580VOOX,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3808LOFN,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well3E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI0632NLGY,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8070VJML,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well3H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI0711ZNGR,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3090WWIX,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well2D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI0721PRUY,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS1500XNWW,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_RNA_day18_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI0744UOFD,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS2513FWFN,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_DNA_day2_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI0805GKFP,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4650RNVG,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well3D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI0829KXQE,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS1683YYFI,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_DNA_day8_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI0932SZUE,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4662KYNQ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well1B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI0974LZEY,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS7581EZJY,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_RNA_day18_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI1005FOWV,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3553ZJQF,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well1C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1017KMXC,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS0993OMZM,,Perturb-seq,charles-gersbach:IGVFFI0118MWHA_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRa_D2_S11_L003_R2_001.fastq.gz'.
IGVFFI1020QDUF,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2656XTWC,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well1H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
