configuration_accession,modality,modality_count,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,requested_reads,requested_reads_total,expected_fastq_count,supplied_fastq_count,controlled_access,report_path,run_status,pass_count,warning_count,error_count,interpretation_count
IGVFFI0001OUZN,rna,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3777TUPG,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_3953_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0001OUZN/rna.json,cached,16,6,0,10
IGVFFI0002IOXM,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS5975CQWW,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0002IOXM/rna.json,cached,14,5,0,3
IGVFFI0004MGTC,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3207ABGV,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_2481_seqspec_fixed,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0004MGTC/atac.json,cached,13,5,0,9
IGVFFI0004QSRS,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS2050YLLS,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0004QSRS/rna.json,cached,14,5,0,3
IGVFFI0007KBCS,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS9127QFKJ,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0007KBCS/rna.json,cached,14,5,0,3
IGVFFI0009HLNF,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS5831VOEM,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_4259_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0009HLNF/atac.json,cached,15,6,0,10
IGVFFI0011QPLN,rna,1,"Leif Ludwig, MDC",Ludwig Lab,mapping,IGVFDS9009JMDG,single-cell RNA sequencing assay,mtscMultiome,leif-ludwig:measurement2303522004_scRNA_L006_seqspec,0.3.0,0.4.0,10000,20000,2,2,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0011QPLN/rna.json,cached,10,1,0,2
IGVFFI0013ATFD,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS5253YWJE,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0013ATFD/rna.json,cached,18,3,0,2
IGVFFI0013RVYT,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS2143YNMR,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_801_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0013RVYT/atac.json,cached,15,6,0,10
IGVFFI0013TLOB,rna,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS8048WSVJ,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_3709_seqspec2,0.3.0,0.4.0,10000,20000,2,2,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0013TLOB/rna.json,cached,14,6,0,8
IGVFFI0013TXLI,crispr,1,"Gary Hon, UT",Mpathi Nzima,functional characterization,IGVFDS8270RCEJ,,Perturb-seq,gary-hon:seqspec_IGVFFI9458TXEE_sgrna,0.3.0,0.4.0,10000,30000,3,3,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0013TXLI/crispr.json,cached,16,9,0,8
IGVFFI0014NULB,rna,1,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8038CIYF,single-cell RNA sequencing assay,Parse SPLiT-seq,maya-kasowski:Parse_P2_scRNA_sublibrary3_lane1_seqspec,0.3.0,0.4.0,10000,20000,2,2,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0014NULB/rna.json,cached,15,5,0,6
IGVFFI0017IFRC,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS2448KDEL,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0017IFRC/rna.json,cached,18,3,0,2
